# packages in environment at /soft/applications/conda/2025-09-24/mconda3:
#
# Name                                Version                                      Build                  Channel
_libgcc_mutex                         0.1                                          conda_forge            conda-forge
_openmp_mutex                         4.5                                          4_kmp_llvm             conda-forge
about-time                            4.2.1                                        pypi_0                 pypi
absl-py                               2.3.1                                        pypi_0                 pypi
accelerate                            1.10.1                                       pypi_0                 pypi
adwaita-icon-theme                    49.0                                         unix_0                 conda-forge
aim                                   3.29.1                                       pypi_0                 pypi
aim-ui                                3.29.1                                       pypi_0                 pypi
aimrecords                            0.0.7                                        pypi_0                 pypi
aimrocks                              0.5.2                                        pypi_0                 pypi
aiofiles                              24.1.0                                       pypi_0                 pypi
aiohappyeyeballs                      2.6.1                                        pypi_0                 pypi
aiohttp                               3.12.15                                      pypi_0                 pypi
aiohttp-cors                          0.8.1                                        pypi_0                 pypi
aiosignal                             1.4.0                                        pypi_0                 pypi
airportsdata                          20250909                                     pypi_0                 pypi
alembic                               1.16.5                                       pypi_0                 pypi
alive-progress                        3.3.0                                        pypi_0                 pypi
ambivalent                            0.2.0                                        pypi_0                 pypi
annotated-types                       0.7.0                                        pypi_0                 pypi
anthropic                             0.69.0                                       pypi_0                 pypi
antlr4-python3-runtime                4.9.3                                        pypi_0                 pypi
anyio                                 4.11.0                                       pypi_0                 pypi
apache-tvm-ffi                        0.1.0b11                                     pypi_0                 pypi
apex                                  0.1                                          pypi_0                 pypi
archspec                              0.2.5                                        pyhd8ed1ab_0           conda-forge
argon2-cffi                           25.1.0                                       pypi_0                 pypi
argon2-cffi-bindings                  25.1.0                                       pypi_0                 pypi
array-record                          0.8.1                                        pypi_0                 pypi
arrow                                 1.3.0                                        pypi_0                 pypi
arviz                                 0.22.0                                       pypi_0                 pypi
astor                                 0.8.1                                        pypi_0                 pypi
asttokens                             3.0.0                                        pypi_0                 pypi
astunparse                            1.6.3                                        pyhd8ed1ab_3           conda-forge
async-lru                             2.0.5                                        pypi_0                 pypi
at-spi2-atk                           2.38.0                                       h0630a04_3             conda-forge
at-spi2-core                          2.40.3                                       h0630a04_0             conda-forge
atk-1.0                               2.38.0                                       h04ea711_2             conda-forge
attrs                                 25.3.0                                       pyh71513ae_0           conda-forge
autograd                              1.8.0                                        pypi_0                 pypi
av                                    15.1.0                                       pypi_0                 pypi
babel                                 2.17.0                                       pypi_0                 pypi
base58                                2.0.1                                        pypi_0                 pypi
beautifulsoup4                        4.14.2                                       pyha770c72_0           conda-forge
blake3                                1.0.7                                        pypi_0                 pypi
bleach                                6.2.0                                        pypi_0                 pypi
blobfile                              3.0.0                                        pypi_0                 pypi
bokeh                                 3.8.0                                        pypi_0                 pypi
boltons                               25.0.0                                       pyhd8ed1ab_0           conda-forge
boto3                                 1.40.43                                      pypi_0                 pypi
botocore                              1.40.43                                      pypi_0                 pypi
brotli-python                         1.1.0                                        py312h2ec8cdc_3        conda-forge
build                                 1.3.0                                        pypi_0                 pypi
bzip2                                 1.0.8                                        h4bc722e_7             conda-forge
c-ares                                1.34.5                                       hb9d3cd8_0             conda-forge
ca-certificates                       2025.8.3                                     hbd8a1cb_0             conda-forge
cachetools                            6.2.0                                        pypi_0                 pypi
cairo                                 1.18.4                                       h3394656_0             conda-forge
causal-conv1d                         1.5.2                                        pypi_0                 pypi
cbor2                                 5.7.0                                        pypi_0                 pypi
ccache                                4.11.3                                       h80c52d3_0             conda-forge
celerite                              0.4.3                                        pypi_0                 pypi
certifi                               2025.8.3                                     pyhd8ed1ab_0           conda-forge
cffi                                  2.0.0                                        pypi_0                 pypi
chardet                               5.2.0                                        pyhd8ed1ab_3           conda-forge
charset-normalizer                    3.4.2                                        pyhd8ed1ab_0           conda-forge
cheroot                               11.0.0                                       pypi_0                 pypi
chex                                  0.1.91                                       pypi_0                 pypi
click                                 8.3.0                                        pyh707e725_0           conda-forge
cloudpickle                           3.1.1                                        pypi_0                 pypi
cma                                   4.4.0                                        pypi_0                 pypi
cmake                                 4.1.0                                        pypi_0                 pypi
codetiming                            1.4.0                                        pypi_0                 pypi
colorama                              0.4.6                                        pyhd8ed1ab_1           conda-forge
coloredlogs                           15.0.1                                       pypi_0                 pypi
colorful                              0.5.7                                        pypi_0                 pypi
colorlog                              6.9.0                                        pypi_0                 pypi
colormaps                             0.4.2                                        pypi_0                 pypi
comm                                  0.2.3                                        pypi_0                 pypi
compressed-tensors                    0.11.0                                       pypi_0                 pypi
conda                                 25.9.0                                       py312h7900ff3_0        conda-forge
conda-build                           25.9.0                                       py312h7900ff3_0        conda-forge
conda-index                           0.6.1                                        pyhd8ed1ab_0           conda-forge
conda-libmamba-solver                 25.4.0                                       pyhd8ed1ab_0           conda-forge
conda-package-handling                2.4.0                                        pyh7900ff3_2           conda-forge
conda-package-streaming               0.12.0                                       pyhd8ed1ab_0           conda-forge
configspace                           1.2.1                                        pypi_0                 pypi
contourpy                             1.3.3                                        pypi_0                 pypi
cpp-expected                          1.1.0                                        hff21bea_1             conda-forge
cryptography                          46.0.2                                       pypi_0                 pypi
cuda-bindings                         12.9.2                                       pypi_0                 pypi
cuda-core                             0.2.0                                        pypi_0                 pypi
cuda-pathfinder                       1.3.0                                        pypi_0                 pypi
cuda-python                           12.9.1                                       pypi_0                 pypi
cupy-cuda12x                          13.6.0                                       pypi_0                 pypi
cycler                                0.12.1                                       pypi_0                 pypi
cython                                3.1.4                                        pypi_0                 pypi
dataclasses                           0.8                                          pyhc8e2a94_3           conda-forge
datasets                              4.1.1                                        pypi_0                 pypi
dbus                                  1.16.2                                       h3c4dab8_0             conda-forge
debugpy                               1.8.17                                       pypi_0                 pypi
decorator                             5.2.1                                        pypi_0                 pypi
decord                                0.6.0                                        pypi_0                 pypi
deephyper                             0.11.3                                       pypi_0                 pypi
deepspeed                             0.17.6+e4f6da96                              pypi_0                 pypi
deepspeed-kernels                     0.0.1.dev1698255861                          pypi_0                 pypi
defusedxml                            0.7.1                                        pypi_0                 pypi
deprecated                            1.2.18                                       pypi_0                 pypi
depyf                                 0.19.0                                       pypi_0                 pypi
dill                                  0.4.0                                        pypi_0                 pypi
diskcache                             5.6.3                                        pypi_0                 pypi
distlib                               0.4.0                                        pypi_0                 pypi
distro                                1.9.0                                        pyhd8ed1ab_1           conda-forge
dm-tree                               0.1.9                                        pypi_0                 pypi
dnspython                             2.8.0                                        pyhcf101f3_0           conda-forge
docopt-ng                             0.9.0                                        pypi_0                 pypi
docstring-parser                      0.17.0                                       pypi_0                 pypi
einops                                0.8.1                                        pypi_0                 pypi
email-validator                       2.3.0                                        pypi_0                 pypi
epoxy                                 1.5.10                                       hb03c661_2             conda-forge
etils                                 1.13.0                                       pypi_0                 pypi
evalidate                             2.0.5                                        pyhe01879c_0           conda-forge
