# packages in environment at /soft/applications/conda/2026-09-17/mconda3:
#
# Name                                      Version                           Build                  Channel
_openmp_mutex                               4.5                               8_kmp_llvm             conda-forge
_python_abi3_support                        1.0                               hd8ed1ab_3             conda-forge
about-time                                  4.2.1                             pypi_0                 pypi
absl-py                                     2.5.0                             pypi_0                 pypi
accelerate                                  1.15.0                            pypi_0                 pypi
adwaita-icon-theme                          50.0                              unix_0                 conda-forge
agent-detector                              2.0.0                             pypi_0                 pypi
aiofiles                                    25.1.0                            pypi_0                 pypi
aiohappyeyeballs                            2.7.1                             pypi_0                 pypi
aiohttp                                     3.14.3                            pypi_0                 pypi
aiohttp-cors                                0.8.1                             pypi_0                 pypi
aiosignal                                   1.4.0                             pypi_0                 pypi
alive-progress                              3.3.0                             pypi_0                 pypi
ambivalent                                  0.2.0                             pypi_0                 pypi
annotated-doc                               0.0.5                             pypi_0                 pypi
annotated-types                             0.8.0                             pyhd8ed1ab_0           conda-forge
anthropic                                   1.6.0                             pypi_0                 pypi
antlr4-python3-runtime                      4.9.3                             pypi_0                 pypi
anyio                                       4.15.1                            pyh5ded981_1           conda-forge
apache-tvm-ffi                              0.1.11                            pypi_0                 pypi
apex                                        0.1                               pypi_0                 pypi
archspec                                    0.2.5                             pyhd8ed1ab_0           conda-forge
argon2-cffi                                 25.1.0                            pypi_0                 pypi
argon2-cffi-bindings                        26.1.0                            pypi_0                 pypi
array-record                                0.8.3                             pypi_0                 pypi
arrow                                       1.4.0                             pypi_0                 pypi
arviz                                       1.3.0                             pypi_0                 pypi
arviz-base                                  1.3.0                             pypi_0                 pypi
arviz-plots                                 1.3.1                             pypi_0                 pypi
arviz-stats                                 1.3.2                             pypi_0                 pypi
astor                                       0.8.1                             pypi_0                 pypi
asttokens                                   3.0.2                             pypi_0                 pypi
astunparse                                  1.6.3                             pyhd8ed1ab_3           conda-forge
async-lru                                   2.3.0                             pypi_0                 pypi
at-spi2-atk                                 2.38.0                            h0630a04_3             conda-forge
at-spi2-core                                2.40.3                            h0630a04_0             conda-forge
atk-1.0                                     2.38.0                            h04ea711_2             conda-forge
attrs                                       26.1.0                            pyhcf101f3_0           conda-forge
autograd                                    1.9.1                             pypi_0                 pypi
av                                          18.1.0                            pypi_0                 pypi
babel                                       2.18.0                            pypi_0                 pypi
backports.zstd                              1.7.0                             py313h8f72f4d_1        conda-forge
beautifulsoup4                              4.15.0                            pyha770c72_0           conda-forge
blake3                                      1.0.9                             pypi_0                 pypi
bleach                                      6.4.0                             pypi_0                 pypi
bokeh                                       3.10.0                            pypi_0                 pypi
boltons                                     26.2.0                            pyhd8ed1ab_0           conda-forge
brotli-python                               1.2.0                             py313h2fc2bef_4        conda-forge
bzip2                                       1.0.8                             hda65f42_10            conda-forge
c-ares                                      1.34.8                            hebe6cf0_2             conda-forge
ca-certificates                             2026.8.13                         h06a4308_0
cached-property                             2.0.1                             pyhcf101f3_0           conda-forge
cached_property                             2.0.1                             pyhcf101f3_0           conda-forge
cachetools                                  7.2.0                             pypi_0                 pypi
cairo                                       1.18.4                            h3c89d7e_3             conda-forge
causal-conv1d                               1.7.0                             pypi_0                 pypi
cbor2                                       6.1.4                             pypi_0                 pypi
ccache                                      4.14                              h420ae53_0             conda-forge
celerite                                    0.4.3                             pypi_0                 pypi
certifi                                     2026.7.22                         pyhd8ed1ab_0           conda-forge
cffi                                        2.1.1                             pypi_0                 pypi
chardet                                     7.6.0                             py313h2af15c8_1        conda-forge
charset-normalizer                          3.5.1                             pyhd8ed1ab_0           conda-forge
cheroot                                     11.1.2                            pypi_0                 pypi
click                                       8.5.0                             pypi_0                 pypi
click-option-group                          0.5.9                             pypi_0                 pypi
cloudpickle                                 3.1.2                             pypi_0                 pypi
cma                                         4.5.0                             pypi_0                 pypi
cmake                                       4.4.3                             pypi_0                 pypi
codetiming                                  1.4.0                             pypi_0                 pypi
colorama                                    0.4.6                             pyhd8ed1ab_1           conda-forge
colorful                                    0.5.8                             pypi_0                 pypi
colorlog                                    6.12.0                            pypi_0                 pypi
colormaps                                   0.5.0                             pypi_0                 pypi
comm                                        0.2.3                             pypi_0                 pypi
compressed-tensors                          0.17.0                            pypi_0                 pypi
conda                                       26.7.2                            py313hd5f5364_2        conda-forge
conda-build                                 26.7.1                            pyh31ec981_1           conda-forge
conda-index                                 0.13.0                            pyh5ded981_0           conda-forge
conda-libmamba-solver                       26.7.0                            pyhcf101f3_0           conda-forge
conda-lockfiles                             0.2.1                             pyhd8ed1ab_0           conda-forge
conda-package-handling                      2.6.0                             pyh5ded981_0           conda-forge
conda-package-streaming                     0.13.0                            pyhd8ed1ab_0           conda-forge
conda-pypi                                  0.11.0                            pyh5ded981_2           conda-forge
conda-rattler-solver                        0.1.1                             pyhcf101f3_0           conda-forge
conda-self                                  0.2.1                             pyhd8ed1ab_0           conda-forge
configspace                                 1.2.2                             pypi_0                 pypi
contourpy                                   1.4.0                             pypi_0                 pypi
cpp-expected                                1.3.1                             h171cf75_1             conda-forge
cpython                                     3.13.15                           py313hd8ed1ab_103      conda-forge
cryptography                                50.0.1                            pypi_0                 pypi
cuda-bindings                               13.0.3                            pypi_0                 pypi
cuda-core                                   1.2.0                             pypi_0                 pypi
cuda-pathfinder                             1.8.1                             pypi_0                 pypi
cuda-python                                 13.0.3                            pypi_0                 pypi
cuda-tile                                   1.6.0                             pypi_0                 pypi
cupy-cuda13x                                14.2.0                            pypi_0                 pypi
cycler                                      0.12.1                            pypi_0                 pypi
cython                                      3.3.0                             pypi_0                 pypi
dask                                        2026.8.0                          pypi_0                 pypi
dataclasses                                 0.8                               pyhc8e2a94_3           conda-forge
datasets                                    5.0.1                             pypi_0                 pypi
dbus                                        1.16.2                            he8c428d_2             conda-forge
debugpy                                     1.8.22                            pypi_0                 pypi
decorator                                   5.3.1                             pypi_0                 pypi
deephyper                                   0.13.2                            pypi_0                 pypi
deepspeed                                   0.19.6+c7cc64a90                  pypi_0                 pypi
deepspeed-kernels                           0.0.1.dev1698255861               pypi_0                 pypi
